title,price,link,size,bedrooms,parking_spaces,bathrooms
Lancamento Moema - 160m2 - 3 Suites - 2 Vagas,4148000,https://www.chavesnamao.com.br/lancamento/lancamento-moema-160m-3-suites-2-vagas/id-29819308/,160,3.0,2.0,5.0
"Apartamento Residencial a venda, Chacara Inglesa, Sao Paulo - AP1146.",879000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-chacara-inglesa-RS879000/id-19983107/,68,2.0,2.0,2.0
"Apartamento com 3 dormitorios a venda, 58 m2 por R$ 350.000,00 - Butanta - Sao Paulo/SP",350000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-butanta-RS350000/id-29862456/,58,3.0,1.0,1.0
Joa Pinheiros - Onde Pinheiros e mais Pinheiros,380000,https://www.chavesnamao.com.br/lancamento/joa-pinheiros-onde-pinheiros-e-mais-pinheiros/id-29498187/,24,1.0,1.0,
Apartamento em Mooca  -  Sao Paulo,750000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-mooca-RS750000/id-26940757/,212,3.0,1.0,3.0
"Apartamento para Venda em Sao Paulo, Vila Re, 2 dormitorios, 1 banheiro, 1 vaga",305000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-re-38m2-RS305000/id-24929237/,38,2.0,1.0,1.0
Lancamento/ Jardim Nordeste / Zona Leste,235000,https://www.chavesnamao.com.br/lancamento/lancamento-jardim-nordeste-zona-leste/id-20127211/,34,2.0,1.0,
"Apartamento a venda, Quinta da Paineira, Sao Paulo, SP",522000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-quinta-da-paineira-RS522000/id-26925680/,60,2.0,1.0,2.0
Apartamento Parque Novo Mundo Sao Paulo/SP,1800000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-com-garagem-sp-sao-paulo-parque-novo-mundo-400m2-RS1800000/id-28591739/,204,3.0,,
Cury Jaguare - Soprano 2Dorm - 37m2 opcao de vaga,237000,https://www.chavesnamao.com.br/lancamento/cury-jaguare-soprano-2dorm-37m2-opcao-de-vaga/id-26330317/,37,2.0,1.0,1.0
"Descubra seu novo endereco, no bairro mais desejado.",3100000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-itaim-bibi-89m2-RS3100000/id-23635452/,89,2.0,1.0,
"Apartamento a venda, 142 m2 por R$ 1.325.000,00 - Vila Andrade - Sao Paulo/SP",1325000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-sp-sao-paulo-vila-andrade-RS1325000/id-26883014/,142,3.0,2.0,3.0
"Apartamentos de 2 dormitorios a 3 minutos do Metro Jabaquara. Lazer completo, varanda em todas as unidades. Menor valor por metro quadrado da regiao.",289600,https://www.chavesnamao.com.br/lancamento/apartamentos-de-2-dormitorios-a-3-minutos-do-metro-jabaquara-lazer-completo-varanda-em-todas-as-unidades-menor-valor-por-metro-quadrado-da-regiao-/id-17850878/,36,2.0,1.0,
"Apartamento Duplex para Venda em Sao Paulo, Vila Mariana, 4 dormitorios, 1 suite, 5 banheiros, 3 vagas",3900000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-sp-sao-paulo-vila-mariana-320m2-RS3900000/id-27099312/,320,4.0,3.0,5.0
"Apartamento dos sonhos! Imagine morar em um lugar cercado por facilidades, com escolas, mercados, farmacias e ate uma feira na rua do predio, tudo per",339000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-limao-RS339000/id-21475305/,69,2.0,1.0,1.0
Monte Hermon,399000,https://www.chavesnamao.com.br/lancamento/monte-hermon/id-22219327/,39,2.0,1.0,1.0
"Apartamento com 2 dormitorios a venda, 94 m2 por R$ 350.000,00 - Vila Marte - Sao Paulo/SP",350000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-marte-94m2-RS350000/id-25137558/,94,2.0,1.0,2.0
"Apartamento com 2 dorms, Vila Madalena, Sao Paulo - R$ 1.1 mi, Cod: 9380",1100000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-sp-sao-paulo-vila-madalena-85m2-RS1100000/id-17516748/,85,2.0,2.0,1.0
Apartamento de 01 e 02 dormitorios,200000,https://www.chavesnamao.com.br/lancamento/apartamento-de-01-e-02-dormitorios/id-25293307/,25,2.0,1.0,1.0
APARTAMENTOS V. CARRAO LANCAMENTO A PARTIR R$215 MIL RESERVE JA SUA UNIDADE,215000,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-1-quarto-sp-sao-paulo-vila-carrao-RS215000/id-29628415/,27,1.0,1.0,
